직종코드,직종명,대분류코드,대분류명,부산공고수
140304,토목감리 기술자,1,연구·공학기술,2
140700,건설자재 시험원,1,연구·공학기술,2
151101,산업기계공학 기술자 및 연구원,1,연구·공학기술,2
151108,자동차공학 기술자 및 연구원,1,연구·공학기술,2
151200,로봇공학 기술자 및 연구원,1,연구·공학기술,2
151300,기계 및 로봇공학 시험원,1,연구·공학기술,2
153100,전기공학 기술자 및 연구원,1,연구·공학기술,2
153305,전자제어계측 기술자 및 연구원,1,연구·공학기술,2
155101,가스 기술자 및 연구원,1,연구·공학기술,2
155500,환경공학 기술자 및 연구원,1,연구·공학기술,2
158101,소방설계 기술자,1,연구·공학기술,2
159106,기타 제도사(캐드원),1,연구·공학기술,2
211200,"대학 강사(초빙,겸임,BK,강의전담 교수 등 비전임교원 포함)",2,교육·법률·사회복지·경찰·소방·군인,2
212300,특수교육 교사,2,교육·법률·사회복지·경찰·소방·군인,2
214104,한국어 강사(다문화 언어지도사 포함),2,교육·법률·사회복지·경찰·소방·군인,2
214401,디자인·캐드 강사,2,교육·법률·사회복지·경찰·소방·군인,2
214404,기계·금속·전기·전자 강사,2,교육·법률·사회복지·경찰·소방·군인,2
214600,자동차 운전 강사,2,교육·법률·사회복지·경찰·소방·군인,2
215300,교사보조 및 관련 종사원,2,교육·법률·사회복지·경찰·소방·군인,2
231103,사회복지프로그램 운영자,2,교육·법률·사회복지·경찰·소방·군인,2
301300,한의사,3,보건·의료,2
306600,임상심리사(심리치료사),3,보건·의료,2
307200,위생사,3,보건·의료,2
307600,환자안전 관리사,3,보건·의료,2
307900,기타 돌봄 및 보건 서비스 종사원,3,보건·의료,2
411201,번역가(영어),4,예술·디자인·방송·스포츠,2
413201,사서,4,예술·디자인·방송·스포츠,2
414900,기타 시각 및 공연 예술가,4,예술·디자인·방송·스포츠,2
415201,의상 디자이너,4,예술·디자인·방송·스포츠,2
415406,기타 시각 디자이너,4,예술·디자인·방송·스포츠,2
415502,게임 디자이너,4,예술·디자인·방송·스포츠,2
420100,스포츠 감독 및 코치,4,예술·디자인·방송·스포츠,2
512900,"기타 개인 생활 서비스 종사원(말벗, 노년플래너 등)",5,미용·여행·숙박·음식·경비·돌봄·청소,2
531300,중식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,2
531801,학교 급식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,2
542000,건물 관리원,5,미용·여행·숙박·음식·경비·돌봄·청소,2
562200,방역원(해충퇴치원 포함),5,미용·여행·숙박·음식·경비·돌봄·청소,2
563301,가사 도우미,5,미용·여행·숙박·음식·경비·돌봄·청소,2
612101,자동차부품 및 운송장비 기술영업원,6,영업·판매·운전·운송,2
612107,의약품 영업원(제약 영업원),6,영업·판매·운전·운송,2
612200,해외 영업원,6,영업·판매·운전·운송,2
613201,식품·주류 영업원,6,영업·판매·운전·운송,2
615211,"꽃 판매원(플로리스트, 토피어리어 포함)",6,영업·판매·운전·운송,2
615800,주유원,6,영업·판매·운전·운송,2
622302,중·대형 화물차 운전원(트레일러 포함),6,영업·판매·운전·운송,2
623003,호이스트 운전원,6,영업·판매·운전·운송,2
703100,건설 배관공,7,건설·채굴,2
706001,조경시설물 설치원,7,건설·채굴,2
811200,공업기계 설치 및 정비원,8,설치·정비·생산,2
811205,식품기계 설치·정비원,8,설치·정비·생산,2
813100,금형원,8,설치·정비·생산,2
813102,플라스틱 금형 제조원,8,설치·정비·생산,2
814000,냉난방 관련 설비 조작원,8,설치·정비·생산,2
815000,자동 조립라인 및 산업용로봇 조작원,8,설치·정비·생산,2
816105,기타 기계 조립·검사원,8,설치·정비·생산,2
823101,단조원,8,설치·정비·생산,2
823200,단조기 조작원,8,설치·정비·생산,2
823400,주조기 조작원(다이캐스팅기 조작원 포함),8,설치·정비·생산,2
824101,가스용접원(산소용접원),8,설치·정비·생산,2
824106,기타 용접원,8,설치·정비·생산,2
841100,컴퓨터 설치 및 수리원(컴퓨터A/S원),8,설치·정비·생산,2
852100,타이어 및 고무제품 생산기 조작원,8,설치·정비·생산,2
852201,플라스틱 사출성형기 조작원,8,설치·정비·생산,2
861100,"섬유 제조 기계 조작원(방적,방사,연사,합사,권사기 등)",8,설치·정비·생산,2
864900,기타 직물·신발 관련 기계 조작원,8,설치·정비·생산,2
872900,기타 식품 가공 관련 기능 종사원,8,설치·정비·생산,2
881103,그라비어 인쇄기 조작원,8,설치·정비·생산,2
890003,화학·환경·에너지 분야 단순 종사원,8,설치·정비·생산,2
890004,섬유·의복 분야 단순 종사원,8,설치·정비·생산,2
890005,전기·전자 분야 단순 종사원,8,설치·정비·생산,2
904200,어부 및 해녀,9,농림어업,2
012200,경영지원 관리자,0,경영·사무·금융·보험,1
012300,마케팅 및 광고‧홍보 관리자(부서장),0,경영·사무·금융·보험,1
